document_id,state,naics,harmonized_sector,contract_year,category,concept_id,concept_label,measurement_status,field_count,high_stakes_field_count,evidence_pointer,data_quality_flag
1004,MO,23731,Construction,2009,Compensation,C_WAGE_BASE_RATE,Base wage or salary rate,needs_common_units,,,"Art. XX (lines 556-760): wage rates by area (E-1 through E-5); General Labor $26.01/hr (E-1 Area E, May 2009); Skilled L",
1004,MO,23731,Construction,2009,Compensation,C_WAGE_INCREASES_COLA,Annual wage increases,needs_common_units,,,Art. XX (lines 611-713): $1.10/hr annual increases May 2010-2011; $1.25/hr May 2012-2013 for most areas (wages and/or fr,
1004,MO,23731,Construction,2009,Compensation,C_WAGE_PROGRESSION,Classification wage differentials,profile_only,,,Art. XVIII (lines 519-535): Skilled Laborer $0.60/hr above General Laborer; Lead Man/Working Foreman $1.00/hr above Gene,
1004,MO,23731,Construction,2009,Compensation,C_PREMIUM_OVERTIME,Overtime eligibility thresholds and multipliers,profile_only,,,Art. VI Sec. 1 (lines 301-303): 1.5x for hours over 8/day or 40/week Mon-Fri; double time Sundays and holidays (Art. VI ,
1004,MO,23731,Construction,2009,Compensation,C_PREMIUM_SHIFT,Shift differentials - three shift operation,profile_only,,,Art. XVIII (line 534): swing shift $0.25/hr; graveyard shift $0.50/hr above regular rates,
1004,MO,23731,Construction,2009,Compensation,C_PREMIUM_CALL_IN_REPORTING,Show-up and reporting pay,profile_only,,,Art. VI Sec. 8 (line 332): 1 hour show-up time if not notified; 4 hours if put to work; 8 hours if works beyond 4 hours,
1004,MO,23731,Construction,2009,Leave,C_LEAVE_HOLIDAYS,Recognized holidays,profile_only,,,"Art. VI Sec. 4 (line 313): New Year's Day, Memorial Day, Independence Day, Labor Day, Thanksgiving Day, Christmas Day = ",
1004,MO,23731,Construction,2009,Healthcare,C_HEALTH_MEDICAL_ACTIVE_CONTRIBUTION,Health and Welfare fund contributions,needs_common_units,,,Art. VIII Sec. 1 (line 369): employer contributes to Construction Industry Laborers' Welfare Fund; $5.05/hr initial rate,
1004,MO,23731,Construction,2009,Ancillary,C_RETIREMENT_PENSION,Pension fund contributions,needs_common_units,,,Art. VIII Sec. 2 (line 371): employer contributes to Construction Industry Laborers' Pension Fund; $3.70/hr initial rate,
1004,MO,23731,Construction,2009,Ancillary,C_TRAINING_TUITION_CERTIFICATION,Joint training and apprenticeship fund,needs_common_units,,,"Art. VIII Sec. 3 (line 373): $0.54/hr (May 2009), $0.57/hr (May 2010) into Missouri AGC-Eastern Missouri Laborers' Joint",
1004,MO,23731,Construction,2009,Disputes,C_GRIEVANCE_PROCEDURE,"Grievance steps, timelines, representation, and scope",profile_only,,,"Art. XII (lines 428-441): 3-step: informal, Step 2 (business rep + employer within 2 days), Step 3 arbitration; 30-day f",
1004,MO,23731,Construction,2009,Disputes,C_ARBITRATION,"Arbitration access, selection, authority, costs, and finality",profile_only,,,Art. XII Sec. 3 (line 435): final and binding; costs split equally; FMCS panel of 5 if no agreement,
1004,MO,23731,Construction,2009,Recognition,C_HIRING_HALL_DISPATCH,Hiring procedure and dispatch system,profile_only,,,Art. III Hiring Procedure (lines 196-237): employer may reject applicants for just cause; area local union has referral ,
1004,MO,23731,Construction,2009,Recognition,C_UNION_SECURITY_DUES_CHECKOFF,Supplemental dues checkoff and union security,profile_only,,,Art. IV Union Security and Art. XVI Supplemental Dues (lines 493-499): 5% of gross wages supplemental dues deducted by e,
